"""city"",""capital"",""1"",""safe"",""break."",""workdis"",""trust"",""corruption"",""freedom"",""bribe"",""houdem"",""busfine"",""2"",""lawful"",""citypop"",""share"",""country"",""cluster"""
"Aarhus,-0.634230128316217,1.20226991787497,1.32099269693519,0.521108054936746,-1.02133941485825,1.69402238318827,1.36100356211209,1.27829706091078,-0.627321574729896,0.166896300953878,0.0997469261082739,1.53962848159347,0.953954718154936,-0.444082092103248,0.0641964690608731,""Denmark"",3"
"Amsterdam,1.55386381437473,2.58641826604025,0.948958019022827,0.334805175192521,0.128292226662456,0.194502890693199,0.99052111733132,1.54295748460405,-0.841832244177358,1.48589173668628,-0.672782838342546,0.686340407457329,0.87255792233545,-0.0156027619576827,-0.0825349626088197,""Netherlands"",3"
"Antwerp,-0.634230128316217,-0.550984656467727,-0.105140235062188,0.707410934680971,-0.216597265793757,-0.330328931680076,0.748902131604731,0.413739676846102,-0.673288146754352,0.36981867568194,-1.16439268844761,0.515682792630101,0.899690187608612,-0.293154897505558,-0.122018583404803,""Belgium"",3"
"Athens,1.55386381437473,0.187227795887092,-1.4692673874075,1.08001669416942,0.933034375726953,-0.6052408386375,-0.249789676065168,-0.909562441620253,1.8242289332411,0.623471644092016,1.22342658349129,-1.57487298900344,-0.728245728781097,-0.167252861828136,0.102289373506178,""Greece"",2"
"Barcelona,-0.634230128316217,-1.47375022191125,0.0188713242419314,0.148502295448295,1.39288703233524,-0.555256855554336,0.0723689715702828,-0.60961396143455,-0.872476625526995,1.33369995564023,-0.110943009651041,0.601011600043715,0.0857222294137571,0.607921498194682,-0.284584962260165,""Spain"",1"
"Berlin,1.55386381437473,0.371780908975797,-0.167146014714248,0.148502295448295,0.358218554966598,-0.0804090162642256,0.603930740168778,0.62546801580072,-0.596677193380259,0.572741050410001,-0.462092902583231,0.00370994814841816,0.248515821052728,2.30010488919726,-0.202789269229177,""Germany"",1"
"Birmingham,-0.634230128316217,0.279504352431444,0.26689444285017,0.334805175192521,-0.216597265793757,-0.0554170247226431,0.571714875405233,0.898950453617095,-0.749899100128446,-0.695523791640387,-0.251402966823916,1.15564884823221,0.981086983428097,0.199747518650498,-0.657234515934482,""United Kingdom"",3"
"Braga,-0.634230128316217,-0.458708099923375,0.700934900414589,1.08001669416942,1.04799753987902,0.269478865317953,-0.00817069033857983,0.140257239029715,0.383943009808138,0.217626894635893,0.169976904694712,1.19831325193901,0.329912616872214,-0.563211301309168,-0.678445627678346,""Portugal"",1"
"Brno,-0.634230128316217,0.0949512393427395,0.0188713242419314,0.707410934680971,0.58814488327074,-0.00543304163947209,-0.0726024198656702,0.122613210783505,-0.611999384055077,0.471279863045971,0.521126797626904,-1.10556454822856,0.11285449468692,-0.401699821679263,-0.334189107096429,""Czech Republic"",1"
"Brusssels,1.55386381437473,-0.64326121301208,-1.40726160775544,2.01153109289055,1.04799753987902,-0.0804090162642256,-0.153142081774534,-0.000894986940026052,0.292009865759226,0.0147045199078309,-1.16439268844761,-0.422934088919651,0.655499800150156,0.252152817345552,0.988443721621159,""Belgium"",1"
"Bucharest,1.55386381437473,0.00267468279838698,-1.09723270949514,-1.15561786276128,-0.446523594097899,-0.0804090162642256,-0.958538700863163,-0.830164314512272,1.41052978502099,-0.340409635866278,-1.09416270986118,-0.294940877799231,-1.16236197315169,1.01606183515523,0.662490703768384,""Romania"",2"
"Budapest,1.55386381437473,0.648610578608854,0.26689444285017,0.148502295448295,-0.906376250706182,0.719334713066473,-0.410868999882894,-0.600791947311444,0.108143577661402,-1.05063794741449,1.50434649783704,1.15564884823221,-0.728245728781097,0.731546505345521,2.08182756003867,""Hungary"",1"
"Celje,-0.634230128316217,-0.366431543379022,-0.0431344554101284,-0.969314983017056,-0.56148675824997,-0.83016876251176,-2.35992881807738,-2.03878024937821,1.59439607311882,-3.73935941256132,-1.16439268844761,-0.7215849148673,-2.0034621966197,-0.681332874107649,-0.651376663939411,""Slovenia"",2"
"Charleroi,-0.634230128316217,-0.458708099923375,-1.4692673874075,0.893713814425196,-0.216597265793757,-0.330328931680076,0.539499010641688,-0.406707636603038,-0.673288146754352,0.623471644092016,-1.30485264562049,-0.16694766667881,0.981086983428097,-0.546235745936931,-0.637391343872278,""Belgium"",1"
"Cluj-Napoca,-0.634230128316217,-0.0896018737459655,-0.167146014714248,-1.15561786276128,-0.101634101641686,-0.380312914763239,-0.50751659417353,-0.48610576371102,0.858930920727518,-0.0867566674562002,-0.251402966823916,-0.337605281506038,-1.48794915642963,-0.445805248826067,-0.72284283554495,""Romania"",1"
"Copenhagen,1.55386381437473,1.01771680478626,1.01096379867489,0.707410934680971,-0.906376250706182,1.61904640856352,1.34489562973032,1.46355935749607,-0.857154434852177,0.319088081999924,0.591356776213342,1.49696407788666,0.953954718154936,-0.233469671932001,0.880882826387036,""Denmark"",3"
"Cracow,-0.634230128316217,-0.27415498683467,1.63102159519548,-2.08713226148241,-2.17097105637896,-1.70488846646722,-1.78004325233356,-0.73312215915808,1.05811939950016,-0.238948448502247,0.450896819040465,-1.57487298900344,-2.0034621966197,-0.086509020000079,-0.632099768414397,""Poland"",2"
"Debrecen,-0.634230128316217,0.00267468279838698,0.576923341110469,-0.0378005842959298,-1.2512657431624,1.69402238318827,0.201232430624464,0.299053493245678,0.0621770056369456,-2.0652498210548,1.15319660490485,2.47824536314322,0.11285449468692,-0.545516122867449,-0.622405400572931,""Hungary"",3"
